EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
100151643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100158262	NaN	NaN	-1.625044	-1.061300	NaN	NaN	-1.627271	NaN	NaN	NaN	NaN	-1.514161	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.790859	-1.444969	NaN	-1.449296	NaN	-1.750494	-1.614403	NaN	-0.654944	NaN	-2.215580	-2.275786	NaN	NaN	-2.216921	NaN	-1.788863	NaN	-0.892446	0.127633	-1.691523	NaN	NaN	NaN	NaN	NaN	-1.139236	NaN	NaN	NaN	NaN	NaN	-1.277534	NaN	NaN	NaN	2.323370	NaN	NaN	NaN	NaN	-0.691523	NaN	-1.506763	NaN	-2.011588	-0.958477	-1.550888	-1.656535	0.684819	0.005759
100169750	2.353888	3.286408	4.712381	1.177344	1.875426	2.685537	0.372618	4.475189	1.852358	0.594071	2.080692	1.293370	2.258851	2.289480	3.354226	3.254957	1.573375	0.175045	1.891808	1.805127	2.202825	NaN	2.140026	2.456990	2.081783	2.897434	3.293782	2.086002	0.077516	1.849639	1.516570	1.954159	2.112133	2.220609	2.430767	2.030866	1.097611	2.603217	1.694435	2.386232	1.350045	2.396050	2.125287	-1.463947	3.352038	2.604214	2.582628	0.668028	0.997039	1.943846	1.475552	2.727158	3.298350	1.996136	1.506957	2.278758	3.783991	4.493295	-0.019024	2.886375	1.670251	-0.207894	1.630312	0.284514	1.493084	3.227310	3.158434	2.741877	2.528171	1.935535	1.947816	2.201132
100169752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100169890	-1.078564	NaN	0.007052	1.079361	-0.172506	1.577393	-1.779422	NaN	-3.383831	NaN	NaN	NaN	-0.073241	0.885028	NaN	-0.413692	NaN	1.334168	NaN	NaN	NaN	3.659445	2.368601	0.363900	NaN	2.970982	1.961994	NaN	NaN	1.480886	3.846574	2.223855	0.571919	NaN	5.303006	NaN	NaN	3.432385	2.577683	3.170582	-0.200250	NaN	-2.348868	NaN	4.962197	2.651706	NaN	0.615605	1.526319	-4.594225	0.175045	3.104756	2.191405	-1.075824	-0.202738	NaN	0.144307	NaN	0.166844	1.158983	1.636868	-0.466736	-2.125951	-0.101908	NaN	NaN	1.347439	0.466340	NaN	0.484190	NaN	0.988848
100170939	7.892228	7.058636	5.897231	7.068934	7.285224	6.608361	6.418829	3.623504	5.729504	4.647228	6.101467	6.962993	6.754598	7.713588	6.569023	8.632159	5.858762	5.081872	4.673172	5.439620	7.423902	7.711861	6.449715	6.739902	8.458450	7.344702	7.032785	5.614371	6.818835	6.099895	5.522702	7.910948	7.009097	7.463663	7.369587	4.942796	4.398802	8.251187	3.962919	6.544807	4.425312	7.097817	5.821225	8.060880	7.149542	6.637909	5.438855	5.504477	5.261094	5.702835	7.850436	6.715969	7.180794	7.748193	5.888419	6.232954	5.203260	5.305223	6.135783	7.598535	6.148847	7.003648	6.022614	5.167189	6.973278	6.815615	10.029821	7.484773	6.093064	4.591314	5.237281	6.363334
100188947	4.036697	5.805806	5.890546	1.523512	5.482090	0.837540	2.896194	3.009526	-1.440263	4.179081	-0.241270	2.186437	3.492674	NaN	4.569248	4.153838	5.058788	6.159875	4.139740	1.068189	5.557670	3.853087	1.876998	1.457016	3.550704	0.760774	4.725125	1.970522	3.299948	NaN	2.779617	4.210506	3.630836	5.891835	1.331247	0.367930	6.004524	3.068877	NaN	3.862402	3.968929	3.832141	6.191391	2.928295	3.207643	0.377735	4.607455	1.860685	1.801655	NaN	4.363059	NaN	7.908139	1.810073	2.869516	0.541812	6.776446	6.181353	2.504519	4.734379	5.166671	3.861271	6.427308	3.606478	2.663026	1.864731	1.988521	2.995629	3.771136	0.343351	4.702702	6.042872
100188949	-0.309002	-0.748796	4.944704	0.938549	3.000955	3.907919	0.372618	2.704673	2.951905	4.130173	3.218208	2.186437	3.197221	4.282180	2.354226	2.952203	1.951886	6.041232	2.699174	-0.516842	1.672335	1.016568	1.876998	2.778923	1.720629	2.930681	2.156300	1.707481	1.077516	NaN	2.194654	1.954159	4.594316	2.634454	1.845791	5.225869	1.460218	1.532816	3.726853	4.336333	3.002108	2.009025	0.710261	0.857901	1.544683	3.436588	3.474189	NaN	2.261110	5.265771	1.738552	0.777030	4.113459	5.017232	1.506957	4.166282	-1.154249	2.001442	2.788310	2.979495	3.447857	1.766129	1.630312	1.984990	1.815002	0.864731	-2.011588	2.041418	3.875475	1.665302	2.755165	1.880255
100188953	NaN	-1.748554	1.696795	0.523562	-1.583809	1.837540	-0.627271	-1.382702	2.260026	0.857185	0.343692	NaN	1.737773	0.889863	2.131853	1.437654	1.951886	3.634419	0.476745	NaN	0.087327	NaN	-1.444969	-1.542879	-0.449296	4.220183	1.949834	NaN	0.492622	NaN	NaN	-1.215915	0.893906	NaN	0.108892	4.838206	1.290306	-1.788863	2.694435	-0.307573	-1.457197	2.308565	-1.874613	-1.463947	-1.040378	NaN	-1.479955	-2.139236	0.801655	1.565353	NaN	7.412245	0.498761	1.810073	-1.300448	0.956800	NaN	4.130725	0.565890	-1.020633	-1.137013	NaN	NaN	0.869477	NaN	-1.942862	NaN	0.041383	0.034216	NaN	NaN	-1.579060
100188954	4.997012	-1.497771	4.876124	4.967579	4.155037	5.862030	4.464544	-1.326263	3.400046	1.991354	2.087904	0.217231	1.479800	-1.481163	5.677601	4.640604	3.545684	4.285454	5.878220	1.954420	3.501490	0.432639	5.715254	-1.268122	4.972936	1.289303	2.011746	5.497731	-1.330973	1.748289	NaN	3.035589	3.247821	3.967159	1.285165	1.595408	0.704429	2.079771	0.815166	1.388465	0.633478	4.337369	1.736475	NaN	-0.777195	NaN	4.529427	2.056826	1.229280	-1.580353	-0.722134	2.171047	5.896037	3.321625	1.426426	2.404413	5.954650	NaN	4.858707	1.997401	2.034427	0.130404	1.999892	1.657503	3.239948	-0.202738	0.717474	3.739373	0.109160	0.207268	3.415961	5.582405
100189589	1.427874	-0.748796	0.959844	NaN	1.223361	NaN	-0.627271	0.202136	NaN	-0.142895	NaN	NaN	NaN	NaN	1.131853	-1.369595	-0.163591	-1.410045	NaN	NaN	1.309758	NaN	1.555080	-1.542879	-0.449296	-0.239226	1.419323	-1.614403	NaN	NaN	NaN	0.591584	-2.275786	0.634407	NaN	-1.216921	1.749706	0.210888	-1.765131	NaN	-1.457197	-1.691523	2.825745	-1.463947	-0.040230	-1.207228	NaN	-1.139236	-1.198262	-1.756818	NaN	0.455123	0.498761	-0.692455	NaN	-1.043051	NaN	NaN	-1.019170	NaN	-1.137013	NaN	-0.691523	0.606442	0.815002	-1.942862	-0.011443	NaN	0.034216	1.928351	-1.637109	0.420833
