mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-mir-575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-576	3.652476	3.847046	2.417969	3.445599	3.468380	3.953334	3.006988	3.102591	6.747730	3.297240	3.440681	4.400507	3.702198	3.213054	3.359887	3.902998	3.691469	2.927356	3.832841	3.833816	3.935099	4.879775	2.444057	3.704623	4.840589	5.412748	4.657707	3.873283	3.628951	4.113299	1.504561	3.535115	2.790991	3.378264	2.141308	5.427789	4.345920	3.991480	4.706319	3.412214	2.626071	2.063071	4.760903	3.527434	4.062624	4.491744	2.950932	4.294997	2.742977	3.735994	3.505799	6.785912	2.755913	4.069297	3.965845	4.801640	3.605344	5.474698	1.636554	2.969993	3.072375	3.658035	3.343509	3.623154	3.276745	1.387564	2.824521	1.148135	3.360693	3.837272	3.741779	0.294338
hsa-mir-577	0.482551	-2.175325	1.543500	-0.077964	NaN	1.595782	-1.162938	NaN	6.961855	2.404155	NaN	3.994515	0.058343	-0.956871	-0.997665	-0.979646	NaN	3.164395	NaN	0.926925	0.702439	4.040240	-0.778336	NaN	2.085702	6.858548	3.072745	NaN	1.722060	NaN	NaN	-0.219772	1.025457	NaN	-0.666047	6.196905	NaN	0.447160	6.019477	-0.632179	NaN	-1.843821	5.268698	2.790468	-0.244805	0.404282	-2.136531	-0.978023	-0.629577	3.073029	0.647818	10.030604	-0.182686	2.406332	-1.648865	4.801640	-1.886508	8.513886	NaN	NaN	-0.249553	1.121983	NaN	0.428776	-0.723256	0.580209	1.184064	0.060673	-0.740844	0.837272	-0.467673	NaN
hsa-mir-578	NaN	NaN	NaN	-2.077961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.215422	NaN	NaN	NaN	-1.619488	NaN	NaN	NaN	NaN	NaN	-0.512217	NaN	NaN	NaN	-2.887751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.338075	NaN	-0.833362	NaN	NaN	NaN	NaN	-2.403076	-2.136531	NaN	-4.436932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.199946	NaN	NaN	NaN	NaN	-2.903403	NaN	NaN	NaN	NaN	NaN
hsa-mir-579	NaN	1.468534	-2.363390	-1.077964	-1.204044	-1.404218	-0.577974	NaN	2.563306	NaN	-1.018749	-0.327414	-1.941659	0.043129	-1.997665	NaN	-1.215422	-0.879998	-0.559477	0.926925	0.380510	0.377275	-1.363297	-0.295378	-0.914298	1.554767	NaN	-0.881606	NaN	0.450334	NaN	-1.219774	-1.296470	-0.869665	NaN	0.278042	1.275530	1.447160	-0.338075	-0.047218	0.166640	-2.843816	1.345866	0.205506	0.018230	1.404282	-2.136531	-0.562985	-0.267007	0.225032	0.232781	1.553251	NaN	-2.178633	-1.063904	2.054406	-0.301547	1.899790	NaN	-1.351936	0.335410	-1.199945	-0.280981	-1.686703	-0.723256	NaN	-1.903398	NaN	0.481547	-1.162728	-0.467673	NaN
hsa-mir-580	NaN	-1.175322	-1.363390	-2.077961	NaN	NaN	NaN	NaN	NaN	NaN	-1.018749	-1.327414	-0.941659	NaN	-1.997665	-1.979646	NaN	-0.879998	-0.559477	NaN	-1.619488	-0.207688	NaN	-1.295376	-0.914298	NaN	1.072744	-1.881603	-0.277940	0.450334	-2.887751	NaN	NaN	-0.869665	-1.666045	-0.721958	0.538565	-1.137803	NaN	NaN	-0.833362	-2.843816	-1.239096	-0.794495	-2.566733	-0.081145	0.670824	-0.562985	-2.115004	-0.096895	-1.352183	-0.768678	NaN	-0.593668	-0.648865	-0.752950	-1.886508	-0.685174	-1.533372	-1.351936	NaN	NaN	NaN	-1.686703	NaN	-1.419789	-2.903403	-1.354365	-1.740847	-0.162728	-1.467673	-3.705665
hsa-mir-581	-0.739842	0.284109	-3.363390	-0.493000	-2.204047	0.595781	-1.162938	-0.219337	1.103874	-1.403198	-1.018749	0.257549	-0.941659	1.043128	-1.997665	0.605317	1.106506	-0.879998	-0.974515	NaN	-1.619488	1.377275	-0.041370	0.289585	-0.914298	0.554767	NaN	-0.881606	0.722060	-1.134629	-1.887756	-1.219774	0.703529	0.130337	-1.666045	NaN	-1.046397	-1.137803	0.661925	NaN	-0.833362	-0.521892	NaN	0.205506	-2.566733	-0.818111	NaN	0.021979	-1.267007	0.710459	-1.352183	NaN	-1.767649	0.628725	-0.063902	1.568979	0.920846	-1.100212	NaN	-1.351936	-1.249551	NaN	-0.865945	-0.949737	0.691782	NaN	-1.903398	NaN	-1.003880	-0.162728	0.117288	-1.705665
hsa-mir-582	6.807053	8.100802	5.960790	5.982733	5.622504	7.881184	6.817203	5.365625	6.546817	6.023065	6.722717	8.410679	5.687699	6.418168	5.790237	6.785226	6.369540	7.605830	6.525331	7.570782	6.720360	5.814680	6.724165	5.874548	8.300021	10.312157	6.971598	8.858176	8.991187	10.268384	7.007062	6.438439	6.610419	7.665612	5.664870	7.535430	7.324290	6.498822	6.568815	8.346530	6.336564	6.800037	5.643546	6.729068	7.157781	7.468832	7.236334	7.107672	5.744220	6.974566	6.881438	10.239751	7.894129	6.125151	6.345488	6.816907	8.810459	10.483186	7.443909	7.139918	6.739132	6.500494	6.918691	7.772047	6.238677	7.481076	7.461830	7.574400	7.320751	6.337118	5.543553	6.697350
hsa-mir-583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.666045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-584	3.804479	5.263470	6.096041	4.551394	4.188272	6.383684	4.360625	4.102591	9.473471	6.448549	5.863893	3.760050	4.977205	6.937946	4.250262	5.324135	5.944449	5.377389	4.040436	4.450488	4.489035	5.077715	4.985430	5.377048	4.295155	6.497281	5.441979	4.510713	3.969988	5.388934	4.719574	5.239659	5.758811	3.653898	6.075420	7.417593	5.477164	6.184126	6.389845	5.777211	5.189007	5.849668	4.805297	4.292969	3.808307	5.971966	5.708959	5.740796	6.112853	5.260656	4.429178	9.508610	4.517753	5.398799	5.037635	4.376334	5.293400	6.567492	6.173988	5.233027	4.900194	3.443911	5.210871	6.265555	5.530986	5.374625	4.884503	5.289491	4.228781	8.349024	4.924644	5.860392
