mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-mir-105-1	NaN	NaN	NaN	NaN	NaN	-0.719706	NaN	NaN	3.198786	NaN	NaN	-1.145723	NaN	-0.340324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.811685	NaN	NaN	-0.371771	NaN	NaN	NaN	0.244567	NaN	NaN	NaN	-2.208454	-0.374726	-2.142831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.988172	NaN	-1.554985	-3.965784	-2.591901	NaN	-0.306570	NaN	NaN	NaN	NaN	NaN	NaN	-3.439512	-1.144785	NaN	NaN	-2.353955	-2.921849	NaN	-3.664471	-2.897361	NaN	NaN	0.320790	NaN	NaN
hsa-mir-105-2	NaN	-2.941365	NaN	NaN	NaN	-0.719706	NaN	-2.174524	3.309817	NaN	NaN	NaN	NaN	-0.755361	NaN	NaN	NaN	-1.159322	NaN	NaN	NaN	-1.811685	NaN	-0.881715	-1.371773	NaN	NaN	NaN	0.829529	NaN	NaN	-1.601816	NaN	0.947202	-1.142834	-2.426486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.554985	NaN	NaN	-0.542225	-1.891530	NaN	NaN	NaN	-0.767099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.664471	-2.897361	NaN	NaN	0.998861	NaN	-2.139566
hsa-mir-106a	3.221276	2.146100	1.588886	3.636971	3.994052	3.803855	3.007709	2.869868	3.509126	3.775481	3.858619	3.983561	2.798214	2.869130	1.646713	1.873667	3.597531	3.364242	3.491622	2.417781	1.693683	2.436244	1.871971	2.440212	2.328668	2.311009	2.211133	2.391329	4.799155	2.170356	4.411350	1.568109	2.698435	2.325713	2.027092	3.097076	1.890135	1.698459	2.040954	2.290621	1.842018	3.318668	2.195341	2.314307	2.807339	2.966025	3.612026	2.399211	2.204135	2.338839	1.917207	3.941357	3.866457	2.801649	3.821994	3.787490	4.407900	4.412015	2.626584	5.004962	3.067746	3.412431	3.552935	3.032350	3.454366	6.660833	4.823738	2.886328	3.940579	3.425126	4.542761	3.504293
hsa-mir-106b	8.848202	9.192100	8.990203	9.113328	9.142799	8.957132	8.834681	9.050682	9.577991	9.253015	8.665974	9.483634	9.255715	8.889096	8.737708	8.864622	8.826350	9.069499	8.770038	8.901596	9.084569	8.857201	8.801130	8.558115	8.384784	8.574794	8.750292	8.956839	9.527655	9.108465	9.252463	8.959472	8.947628	9.128603	8.743625	8.628796	8.791002	9.048661	8.698213	9.078524	9.039235	9.349335	9.343958	8.936359	9.121734	8.920221	8.828344	8.895195	8.691305	9.066983	8.674521	8.844869	8.920189	9.120483	8.809983	9.653388	9.360766	10.379816	9.031916	9.652876	8.711602	8.833603	8.468616	9.048260	9.408938	11.099051	9.710200	9.726232	9.425774	8.610808	9.501406	9.036610
hsa-mir-107	10.454496	10.423592	10.464852	10.247428	10.585651	9.752984	9.667824	10.168938	10.453531	10.811105	9.951376	10.734626	10.256198	10.298565	10.296568	10.342087	9.981235	10.122900	9.461582	10.334655	10.454680	10.398074	10.508112	10.510065	10.226281	9.991052	10.214715	10.635863	10.954512	10.334005	10.796121	10.264690	10.145794	10.154704	10.581041	10.156126	10.175152	9.838010	10.204185	9.708857	10.198195	10.587015	10.463688	9.855404	10.300528	9.978334	10.112340	10.439368	9.818129	10.380902	10.442906	11.180097	10.359169	10.525286	10.155286	10.445398	10.036007	11.502368	9.797107	10.443929	9.984223	9.837678	10.476758	10.550845	10.645624	13.062318	11.308508	10.591385	10.870890	10.671949	11.139981	10.874457
hsa-mir-10a	15.892375	15.688989	15.474470	14.096048	15.190362	14.489537	15.127914	14.555281	14.677030	14.994677	14.059659	15.177104	14.587100	14.889969	15.208730	15.118229	14.740595	14.552589	14.127708	15.531875	15.333476	14.993305	15.092923	15.447748	15.362832	15.826526	15.757161	15.565218	16.903998	15.390092	14.589581	14.854362	14.516312	15.208210	14.566331	14.565976	15.876192	15.327967	14.554304	15.089802	15.219220	15.436162	15.589654	15.635672	15.564712	15.162994	14.941047	15.174150	14.283457	14.956126	15.124124	15.167220	15.353131	15.251056	15.266607	14.366626	13.889757	15.600630	15.706126	14.369713	15.269778	14.982042	15.402627	15.182246	15.357185	14.406891	14.905924	14.998382	15.387155	15.512697	15.309219	13.620507
hsa-mir-10b	18.289041	18.063742	17.292198	16.981808	17.450171	17.479446	17.717168	17.345076	17.442097	17.707893	16.924579	17.502642	17.914799	17.769924	17.765139	18.107325	17.261010	17.690207	17.038880	17.961930	17.824609	17.755437	17.929081	18.191118	18.115976	18.220406	18.014062	17.764872	15.367698	18.098388	17.312568	17.946285	17.345043	17.879050	17.805839	17.514758	18.274372	18.243526	18.073829	18.138892	18.129188	18.355909	18.293802	18.410397	18.463960	18.259563	17.988957	18.430200	17.555575	17.910358	17.952782	17.102395	17.849075	17.980209	18.087854	18.183217	17.343907	17.969590	18.107538	17.493255	17.876931	17.805911	17.890807	18.028131	18.158184	17.153550	17.740235	18.180496	17.853647	17.935230	17.946883	17.068259
hsa-mir-1178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-1179	0.221276	NaN	-2.111552	-2.063469	0.063315	-1.719709	-1.899184	NaN	-0.445071	NaN	-1.841823	NaN	NaN	NaN	-1.523210	NaN	NaN	NaN	-2.616906	NaN	-0.891279	-1.811685	NaN	NaN	-0.371771	-0.747885	-1.248300	-0.416027	NaN	NaN	-1.064383	NaN	-2.208454	-2.374726	NaN	-0.426486	-0.694828	NaN	-0.865937	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.475439	-1.554985	-2.380829	-2.006936	NaN	NaN	-0.355935	-1.327634	NaN	NaN	NaN	-0.162893	NaN	-1.144785	-1.254183	-1.631963	0.231007	-1.921844	-2.499826	0.035967	-1.312398	NaN	0.146163	1.168786	-0.011828	-2.139566
hsa-mir-1180	3.159876	4.218508	3.982964	3.521494	2.763754	3.865256	3.422746	2.825474	3.912482	2.868591	1.965534	2.661632	1.710751	3.274387	3.000350	3.288704	1.819924	3.673570	1.968060	3.640173	3.966702	3.436244	3.052543	3.025175	3.020546	2.876606	2.999629	2.753899	4.703998	3.170356	2.327934	2.568109	1.961470	3.017591	3.612054	1.895442	2.764605	3.200959	1.834503	1.918652	2.234336	3.318668	3.669272	3.401770	3.309840	3.684254	3.109525	2.730416	3.734649	3.800419	3.917207	3.062664	1.644065	3.372806	3.207284	3.518304	3.366080	4.451816	3.341855	4.212767	3.500705	4.011893	3.931447	3.972972	4.070026	5.964884	3.997456	3.803866	4.004144	4.064950	4.236099	3.767327
