EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
29931	7.349387	6.251990	6.597230	6.341256	6.864819	6.334636	5.295998	5.158959	5.486531	6.443134	4.576383	7.434853	5.582140	5.888288	6.298035	6.153682	6.314254	5.698549	5.753110	6.527414	5.089519	6.686890	6.972762	6.679666	5.629010	6.494520	6.149715	6.912810	6.822826	6.560643	6.657941	7.345088	5.407196	7.093799	6.282990	7.586213	7.225021	6.877907	7.113341	7.093497	6.669614	7.735997	8.321595	7.433053	6.523347	6.079922	6.846709	8.013540	6.147801	6.635498	6.245054	6.765773	6.726852	7.452798	6.695561	6.288652	4.070080	7.149102	6.143461	4.472962	6.579429	6.179991	7.613764	7.623715	7.327316	5.972192	7.190965	7.162907	7.393502	6.914122	8.050367	8.719068
303	6.509283	6.278832	6.963281	5.143957	7.455135	5.311303	5.454429	5.727618	5.514012	6.596333	5.526629	7.033012	5.650159	5.743089	5.698999	5.765519	6.036721	5.460684	5.205623	5.952869	5.375429	5.889802	6.037112	5.698163	6.092956	5.980665	5.461303	6.524039	5.697296	6.020075	7.300977	5.411379	6.093089	6.493154	5.752039	6.239959	6.031179	6.275244	6.100959	5.250658	5.698999	6.354022	6.722242	5.230910	5.813266	5.850054	6.367824	6.789707	5.719706	6.121554	5.815545	6.561234	5.910406	5.955966	6.429579	6.070011	4.734894	7.226113	5.336105	5.750497	6.352296	6.297228	7.188555	6.968363	6.946987	6.222007	7.393499	7.075835	7.430889	6.657087	7.451669	5.025693
304	12.552896	12.575780	12.686208	11.428560	13.657978	11.697448	11.889257	12.209234	12.098974	12.731602	11.556569	13.342285	11.617915	11.959977	11.424314	11.981240	12.019311	11.469800	10.894737	11.696177	11.797541	12.501900	12.130826	12.075304	12.106976	11.712507	11.740970	12.332455	12.050683	12.392346	13.298717	11.571311	12.128792	12.355682	11.603247	12.122305	12.129492	12.141125	12.256474	11.097182	11.623044	12.558837	12.358121	11.968315	11.990978	11.765445	12.147878	12.884717	11.521273	12.246692	12.040325	12.838037	12.117096	11.967773	12.665461	11.879707	10.731076	13.327893	11.207559	11.588440	12.099159	12.546081	13.187065	13.036834	13.003371	12.263745	13.320397	13.046451	13.358598	12.569653	13.198691	10.618268
3044	NaN	NaN	-0.733603	NaN	NaN	NaN	NaN	NaN	-0.213906	NaN	0.278698	NaN	NaN	0.655627	-1.388355	-0.453636	-1.592484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.670475	1.342384	0.924100	NaN	-1.761213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.255150	NaN	NaN	NaN	NaN	NaN	-1.420048	NaN	-0.061601	-0.717620	NaN	NaN	NaN	NaN	NaN	-1.296191	NaN	NaN	NaN	NaN	-1.409278	-0.382325	NaN	NaN	NaN	-1.678996	NaN	NaN	NaN	NaN	NaN	NaN
305	2.949852	2.687195	2.588253	0.607863	3.837752	1.787725	2.576111	2.005148	2.245526	2.700173	0.278698	3.186928	1.209578	1.333710	0.933497	1.353718	1.992333	1.054710	2.398268	-1.166179	0.899717	1.920179	1.817951	1.573471	2.092952	0.914565	0.927290	2.383552	1.915942	2.823668	3.609270	1.835035	0.298658	2.299391	1.348289	2.613532	1.670432	1.198431	2.702414	-0.517461	0.744764	2.617063	2.169444	1.988848	2.112834	1.068671	2.164883	2.536724	1.675319	1.741791	2.183264	2.130173	2.090244	1.201069	2.781297	2.025631	1.297485	2.815821	0.570560	2.750499	1.912688	1.617769	3.576111	2.839073	3.648523	2.321149	2.390503	2.837842	2.383137	2.444641	2.950226	0.048376
3116	0.701948	1.102255	1.436215	1.870937	1.115300	2.488181	1.296017	0.683202	4.514009	1.989684	2.015676	-1.205231	4.102667	3.088583	-1.388355	-0.453636	0.729270	2.433200	-1.302226	1.418892	-0.100360	1.920179	2.724825	-0.011443	NaN	0.914565	-0.657673	2.094033	4.237862	1.238726	0.258820	-0.972280	-0.701342	1.677892	0.570754	-0.123434	0.211012	0.198368	2.702414	1.289834	1.914718	1.032101	0.082021	1.288418	1.665347	1.068671	-1.420048	NaN	0.353436	3.282351	1.446309	NaN	NaN	0.464145	0.080794	3.511051	2.619413	-1.432065	2.055994	0.428571	1.175684	4.425103	NaN	1.839073	-1.305788	1.321120	0.483571	1.121612	-0.317247	1.066124	1.628307	NaN
3128	7.200059	7.679873	8.862010	5.642294	8.061735	7.830906	7.658670	7.508406	8.154663	8.880664	7.018143	7.791843	6.474337	8.278278	7.646472	6.920434	6.449461	7.806022	NaN	5.721695	6.857726	8.396252	6.782284	3.643856	6.740673	6.588226	7.187254	9.193965	7.137619	8.790836	8.777109	7.553665	7.776512	6.880131	5.797988	8.157588	7.934628	7.287692	6.790951	7.116993	5.812075	7.776557	6.866794	7.658669	8.795277	5.478933	5.364558	7.002875	7.017618	7.006421	8.537783	8.140006	7.099719	8.040282	7.467403	9.310409	5.606253	7.696849	6.947487	8.020726	7.858094	8.371767	8.455610	6.084251	7.257708	6.465287	7.209825	7.170647	8.322688	6.399263	7.273780	4.642661
3136	8.693450	9.376816	11.379242	9.489934	9.810861	9.009329	10.533380	9.350336	10.661841	10.053316	9.301992	9.899206	9.415553	11.258139	10.735656	9.398100	9.553296	10.219599	9.429146	9.824740	10.086428	10.321056	10.579910	9.918256	9.608655	9.917390	10.035411	11.058551	9.630181	11.019460	10.254537	9.683653	8.889260	9.273797	9.253202	10.389295	10.111868	10.397486	10.650776	7.948039	6.564980	9.994990	7.747332	9.717279	9.215763	10.618480	8.973312	9.989585	9.937877	10.566307	10.268617	10.254306	9.323847	9.710458	9.883367	11.270695	10.395961	9.516998	10.164896	11.107168	10.034206	10.276852	10.558228	10.477968	9.658662	9.691282	10.329489	10.066665	9.092087	9.816330	8.825519	8.750585
3137	2.491648	2.194213	3.157739	3.123914	1.115300	4.004196	4.225252	3.955992	4.905654	0.947105	4.009885	2.308099	3.710018	4.510620	4.027021	3.308696	4.245306	4.854195	3.988030	4.365308	3.167229	4.988467	3.153514	3.687094	2.894527	5.047975	3.944952	3.402449	4.697034	2.111532	3.978177	3.657034	4.887238	3.479851	3.011281	3.877754	2.794166	3.783394	4.723886	2.958212	4.472722	4.077363	4.233574	4.446250	3.968284	3.071402	4.105988	2.780394	4.189058	4.111949	3.183280	2.922141	3.432211	3.846323	2.943790	4.456438	3.019222	1.640019	4.093383	1.809867	4.060955	3.796463	3.489787	2.338596	1.132643	1.815575	3.241703	3.343294	1.221258	2.726962	1.123997	1.633385
3139	3.949852	3.943546	5.173203	4.533900	2.700240	5.810109	4.321531	5.625738	6.393421	3.815647	4.185589	5.562792	4.332966	4.825552	3.196497	5.612441	4.577290	3.433200	3.785289	4.666819	3.853896	3.657137	4.947227	4.573465	4.414886	5.016113	4.386756	5.383556	4.870133	4.681657	5.136515	5.072067	5.156655	4.453188	4.138397	4.935450	5.093645	4.555982	4.886833	4.413208	1.744807	5.571252	3.605554	5.354484	3.987294	4.623282	3.709202	4.056098	4.160743	5.369815	4.446309	4.644756	4.790668	4.833346	4.366252	6.491592	2.712530	4.152865	3.892498	3.952129	5.190658	4.261606	5.875672	4.926540	4.309031	4.549959	2.875918	4.868874	4.040244	4.066124	2.876232	3.855770
317648	8.347911	8.586959	8.523654	8.275426	8.366531	8.088461	8.395986	8.386037	8.120923	8.030927	8.683459	8.078043	8.221723	8.237143	8.537416	8.164865	8.134944	8.195920	8.465681	8.071974	8.603996	8.173346	8.128284	8.112833	8.514297	8.676514	8.393066	8.060424	8.325942	8.198355	7.793703	8.047905	8.214791	8.196284	8.229614	8.292282	8.304709	8.112723	8.071970	8.193141	8.260738	8.266959	8.075133	8.442453	7.970507	8.476834	8.211535	8.097482	8.017850	7.974007	8.181473	8.466111	8.489398	7.698659	8.092022	8.111361	8.279362	8.088009	8.223632	7.983809	8.289224	8.346281	7.966181	7.890914	8.127051	8.096733	8.145509	8.082915	7.756007	8.271068	8.296673	6.775720
